unit_id,domain_id,indicator,weight
222300748,W06000003,NA,NA
222300749,W06000003,NA,NA
222300750,W06000003,NA,NA
222300751,W06000003,NA,10295.852271503101
222300752,W06000003,NA,NA
222300753,W06000003,NA,NA
222300754,W06000003,NA,NA
222300755,W06000003,NA,NA
222300756,W06000003,1,562.3680988232834
222300757,W06000003,0,1082.4573880503613
222300758,W06000003,NA,NA
222300759,W06000003,NA,NA
222300760,W06000003,NA,NA
222300761,W06000003,NA,NA
222300762,W06000003,NA,NA
222300763,W06000003,NA,NA
222300764,W06000003,NA,NA
222300765,W06000003,NA,NA
222300766,W06000003,NA,NA
222300767,W06000003,NA,NA
222300768,W06000003,NA,NA
222300769,W06000003,NA,NA
222300770,W06000003,NA,NA
222300771,W06000003,NA,NA
222300772,W06000003,NA,NA
222300773,W06000003,NA,NA
222300774,W06000003,NA,NA
222300775,W06000003,NA,NA
222300776,W06000003,NA,NA
222300777,W06000003,0,2718.483123252511
222300778,W06000003,1,1325.9708313727367
222300779,W06000003,0,950.090262987505
222300780,W06000003,NA,NA
222300781,W06000003,NA,NA
222300782,W06000003,NA,NA
222300783,W06000003,NA,NA
222300784,W06000003,NA,NA
222300785,W06000003,NA,NA
222300786,W06000003,NA,NA
222300787,W06000003,NA,NA
222300788,W06000003,NA,NA
222300789,W06000003,NA,NA
222300790,W06000003,1,678.4408824550084
222300791,W06000003,NA,NA
222300792,W06000003,NA,NA
222300793,W06000003,NA,NA
222300794,W06000003,NA,NA
222300795,W06000003,1,2660.385467301344
222300796,W06000003,NA,NA
222300797,W06000003,0,489.5799063660881
222300798,W06000003,0,2783.112818596123
222300799,W06000003,NA,1386.4590116065551
222300800,W06000003,NA,NA
222300801,W06000003,NA,NA
222300802,W06000003,NA,NA
222300803,W06000003,NA,NA
222300804,W06000003,NA,NA
222300805,W06000003,NA,NA
222300806,W06000003,NA,NA
222300807,W06000003,NA,NA
222300808,W06000003,NA,NA
222300809,W06000003,NA,NA
222300810,W06000003,NA,NA
222300811,W06000003,1,641.8640707679549
222300812,W06000003,1,2059.791411167051
222300813,W06000003,NA,NA
222300814,W06000003,1,679.6207808131292
222300815,W06000003,0,1965.3041048499194
222300816,W06000003,NA,NA
222300817,W06000003,NA,NA
222300818,W06000003,NA,NA
222300819,W06000003,NA,NA
222300820,W06000003,0,1151.9527208613833
222300821,W06000003,NA,NA
222300822,W06000003,NA,NA
222300823,W06000003,NA,NA
222300824,W06000003,NA,NA
222300825,W06000003,NA,NA
222300826,W06000003,NA,NA
222300827,W06000003,NA,NA
222300828,W06000003,NA,NA
222300829,W06000003,NA,NA
222300830,W06000003,NA,NA
222300831,W06000003,NA,NA
222300832,W06000003,NA,NA
222300833,W06000003,0,667.7039249751282
222300834,W06000003,1,589.2450799327869
