domain_id,benchmark_commute_distance,direct_estimate,direct_ci_lower,direct_ci_upper,direct_ci_width,fh_estimate,fh_ci_lower,fh_ci_upper,fh_ci_width,spatial_fh_estimate,spatial_fh_ci_lower,spatial_fh_ci_upper,spatial_fh_ci_width
W02000050,8.24784081155164,5.869230698637214,3.0910868268466434,8.647374570427784,5.556287743581141,6.623665658868401,3.950463106011103,8.994317650682834,5.043854544671731,7.0461210927727524,4.262419693110431,9.642855888597865,5.380436195487434
W02000051,8.73391243696275,6.144341428917526,4.16744758712422,8.121235270710832,3.9537876835866124,6.498227996506352,4.659497705543208,8.711888736392343,4.052391030849135,6.61167420036836,4.676177675362544,8.214496331378841,3.5383186560162976
W02000052,8.498912039986092,37.36762796355122,-9.04193272390659,83.77718865100903,92.81912137491562,9.691608554999801,3.940050578831716,15.67504557345713,11.734994994625414,8.792821914661227,3.472316122131785,13.919763421878415,10.44744729974663
W02000053,9.019659736096537,15.128779424799605,6.959252331859416,23.298306517739796,16.33905418588038,11.544043620011287,7.509065548044314,16.728425870172536,9.219360322128223,10.80605857769038,6.332998302384683,15.086964203105637,8.753965900720953
W02000054,11.207818713103448,14.903730700040692,4.657651186727351,25.14981021335403,20.49215902662668,10.514300291621547,5.793707237255244,15.407457804922597,9.613750567667353,9.518774369291517,4.592020489469853,13.852049520409697,9.260029030939844
W02000055,9.074132238965952,34.89655129660246,-2.2848844505437427,72.07798704374866,74.3628714942924,9.926448022859294,4.24462406631525,15.19781113682073,10.95318707050548,9.13752834807065,4.39450683021675,14.109870655386473,9.715363825169723
W02000056,12.330810234182099,8.472147078949957,4.091134376172033,12.853159781727882,8.76202540555585,8.879618375907768,5.636687108670274,11.754368769810599,6.117681661140325,8.708943770559234,5.14171679121617,12.066878821922593,6.9251620307064234
W02000057,12.188973643865031,5.869606389642689,0.9810189499559892,10.75819382932939,9.777174879373401,7.39680287083771,3.944493877162037,11.155485511702338,7.210991634540301,7.074791902162967,3.747479963795552,10.519263143250884,6.771783179455332
W02000058,12.247328476173543,7.975652192910148,5.85954561788428,10.091758767936014,4.2322131500517335,8.132926927933415,6.164530086694641,9.972709598897254,3.8081795122026127,8.176523407745325,6.334523281522732,10.03008134859677,3.695558067074038
W02000059,10.466167605943152,11.254050310444864,8.642604610154581,13.865496010735146,5.222891400580565,10.867704797859426,8.485398111223885,13.134476426148707,4.649078314924822,10.571856699487133,8.178340080694916,12.636857948606123,4.4585178679112065
W02000060,8.652089772579211,9.558828200483758,5.303655837273961,13.814000563693554,8.510344726419593,9.480675159761432,6.3570954472792875,13.405223589127942,7.048128141848655,8.785969061444447,5.236142907586603,11.883148850158014,6.64700594257141
W02000061,7.380370653147933,4.781295595968235,1.863444287226907,7.699146904709563,5.8357026174826565,5.621563559142446,2.8989926725412136,7.954731736907866,5.055739064366652,5.3788014791541965,2.5783968501873087,7.988546423679545,5.4101495734922365
W02000062,7.3844745791823305,5.650251397072872,4.589444553425887,6.711058240719858,2.121613687293971,5.825576540065594,4.877479111492212,6.875813164296304,1.9983340528040916,5.773141983538385,4.7878246375993285,6.764748218043187,1.9769235804438585
W02000063,10.807873395504544,8.914724964990377,4.497664875320992,13.331785054659761,8.834120179338768,8.959301673992552,5.714605488126923,12.155193799419818,6.440588311292895,8.512811404720784,5.277269889765538,11.918780842831143,6.641510953065605
W02000064,6.54298229935573,3.8587730225782306,2.469507964000714,5.248038081155747,2.778530117155033,4.18050020890427,2.744308046662434,5.429807601181855,2.6854995545194207,4.036598906622958,2.7982216029291287,5.469699453278659,2.6714778503495307
W02000065,6.724777063966692,8.660951151027934,5.542555869478735,11.779346432577132,6.236790563098396,8.874758622730528,6.290365583623384,12.173596170984753,5.8832305873613695,8.197422425784799,5.471430448190061,10.94007885076295,5.468648402572889
W02000066,5.7957739103591575,6.870240932686305,4.451275977095058,9.289205888277552,4.837929911182494,7.238854691504739,5.119329413891409,9.370892951746411,4.251563537855002,6.9349695271294,4.754079463867281,8.892281616536426,4.138202152669145
W02000067,8.300179210761279,39.41938021731181,-15.286293663449328,94.12505409807295,109.41134776152228,9.865209507107126,3.857680701730443,16.04028895089112,12.182608249160678,8.280909570306779,3.491843643627641,13.880358978719116,10.388515335091475
W02000068,6.273430657222223,7.883716027628606,5.449039095054406,10.318392960202805,4.869353865148399,8.104671894247693,6.128491038738447,9.916012036335761,3.7875209975973148,7.819475048515109,5.747772343330053,9.849154974221827,4.1013826308917745
W02000069,8.764380128595601,7.971969104535176,0.8216125658194544,15.122325643250896,14.300713077431443,8.38002705502987,4.268307518767298,12.7159299270579,8.447622408290602,7.716643278268927,3.913436323108588,11.306331428611106,7.392895105502518
W02000070,8.513701178984576,18.834011951972347,1.2251413435835765,36.44288256036111,35.21774121677754,9.607379951110007,3.780325080106877,14.492767792350325,10.712442712243448,8.325936209710672,3.427671273160648,13.274277734820027,9.846606461659379
W02000071,8.01851424918718,9.34968779931894,6.586962223209852,12.112413375428027,5.525451152218174,9.272326133173014,6.7289814198600695,11.494124592411852,4.765143172551783,9.055843384053448,6.713250769750324,11.692653273685503,4.979402503935178
W02000072,7.220904689162068,8.597297036791819,4.141825195822098,13.05276887776154,8.910943681939443,8.878381937174396,5.945740040896073,12.056954347181309,6.111214306285236,7.7915676285119995,4.23972660318622,11.24743112630306,7.007704523116839
W02000073,8.056990786419332,9.824953080863509,2.0816712634630967,17.56823489826392,15.486563634800824,9.30683928529178,5.274790799596481,13.323333000929539,8.048542201333058,7.947928181678846,3.6103629002363924,12.513336336700467,8.902973436464075
W02000074,7.779820547310127,4.8665503372520345,2.211746318502159,7.521354356001909,5.30960803749975,5.640421923514666,3.2185105753997867,8.06036883380078,4.841858258400993,5.52612291835525,3.206206796167768,8.24993087379351,5.0437240776257415
W02000075,9.068438907115699,6.593551409446255,3.367137183416954,9.819965635475556,6.452828452058602,7.181161070601891,4.28344332947934,9.745532440725524,5.4620891112461845,7.019732581155598,4.220591342374453,9.331024708214478,5.110433365840025
W02000076,9.911923995071463,5.2409962359781535,3.671811355849729,6.810181116106578,3.1383697602568486,5.559323788054293,3.970230852295879,7.103160057491415,3.132929205195536,5.5871956498546185,4.409395422924092,7.086369100459429,2.6769736775353365
W02000077,8.969605453703704,21.85301325330822,-8.566387207583265,52.2724137141997,60.83880092178296,9.562826816726352,4.238831504904253,15.565636066579314,11.326804561675061,8.263308233029637,3.077064861146283,13.295626028514818,10.218561167368534
W02000080,6.721119816218264,14.908669402933148,0.3274812741611015,29.489857531705194,29.162376257544093,10.56868559795912,4.9804317487932135,15.888684465160223,10.90825271636701,8.589186454741427,3.2050878168997574,13.668274042656538,10.46318622575678
W02000081,6.1228224006978,12.07910858351812,2.952266319131496,21.205950847904745,18.25368452877325,10.117370541804053,5.59286283129284,14.75190416177894,9.159041330486101,8.677651365236397,4.290831441040087,13.320064250696994,9.029232809656907
W02000082,6.444925907953697,4.608737036535778,0.9208970862845836,8.296576986786972,7.375679900502389,6.005787847172692,3.1070974300354948,9.03094717297404,5.923849742938545,5.821778710247525,2.744135528318356,8.979530661078341,6.235395132759985
